title,text,label
Government Policy,Government announces new education policy,REAL
Celebrity News,Famous celebrity marries in private ceremony,REAL
Miracle Cure,This medicine cures all diseases in 3 days,FAKE
Alien Sighting,Aliens spotted in the city last night,FAKE
Stock Market Update,Stock market hits record high today,REAL
Fake Job Offer,Company offers job without interview by paying fee,FAKE
Sports Win,Team wins match by huge margin,REAL
Vaccine Myth,Vaccines contain tracking microchips,FAKE
Tech Launch,New smartphone launched with advanced features,REAL
Climate Claim,Climate change is a hoax created by scientists,FAKE
Election Results,Election results declared peacefully,REAL
Lottery Scam,You won a lottery you never applied for,FAKE
Health Advisory,Doctors warn against high sugar intake,REAL
Bank Alert,Your bank account will be blocked click link,FAKE
Education Reform,New syllabus introduced for students,REAL
Ghost Story,Haunted house appears at midnight,FAKE
Startup Funding,Startup raises funding for growth,REAL
Cancer Cure Claim,Drinking herbal tea cures cancer,FAKE
Space Mission,Space agency launches satellite successfully,REAL
Social Media Trick,Share this post to become rich overnight,FAKE
